order_id,customer_id,date,status,amount
13956188,003500z8Ei4f51iI1M,2023-05-25,shipped,3965.49
13956189,003500tgRXqGOhf3Xv,2023-11-03,shipped,9164.93
13956190,00350072n2l4n3qGn3,2023-01-12,cancelled,3321.72
13956191,003500T3i6B71Xnzd2,2023-07-16,shipped,7467.28
13956192,00350043DT52gs2gR6,2023-08-16,cancelled,746.04
13956193,003500x97FXeko1Ta4,2023-02-06,shipped,3716.36
13956194,00350003rHTbZ7wrP7,2023-06-11,shipped,7363.18
13956195,0035006Dxyk6EbEm4e,2023-05-01,shipped,7141.42
13956196,0035002aAowk63QeJO,2023-08-29,shipped,1994.56
13956197,003500M7Q93CKG2je2,2023-12-12,shipped,4339.1
13956198,003500gR8c9C6IMXj2,2023-09-16,cancelled,1460.47
13956199,0035000o3nReb4v20Y,2023-01-27,shipped,5433.65
13956200,003500C822642I6m6w,2023-12-09,shipped,2268.04
13956201,003500BNWZ0iLhQwJ0,2023-07-15,cancelled,5385.77
13956202,003500emxykY34PTXp,2023-04-27,shipped,8183.25
13956203,003500S2ZJz8u3LvE9,2023-10-13,shipped,9697.44
13956204,003500JZPp11t1JvtL,2023-01-05,cancelled,9272.36
13956205,003500URn76xrU47fh,2023-12-20,shipped,8223.97
13956206,0035008x0aemD0c17B,2023-02-17,shipped,6277.6
13956207,0035001Biv15iSBQ77,2023-06-03,cancelled,4070.87
13956208,0035002ly2fYan8V5J,2023-04-13,shipped,6083.42
13956209,0035006KUqtc29t6wY,2023-02-22,shipped,9867.4
13956210,003500nriRxYFLNUNR,2023-10-15,shipped,9181.81
13956211,00350049a5cED8sZfw,2023-03-29,cancelled,7388.52
13956212,00350057T1U2n8Zl6G,2023-01-07,shipped,8029.77
13956213,00350053e63OZfRP60,2023-07-30,shipped,7596.48
13956214,003500UwMRXAT27ijt,2023-05-24,shipped,6272.48
13956215,003500flQfOQxu3uFR,2023-06-03,shipped,7523.73
13956216,003500Z84V77TA6qR1,2023-11-18,shipped,5995.65
13956217,003500oMXV4P569QRW,2023-08-14,shipped,975.59
