id,nps_score
003500Q2s1vEJ9Dw7K,1
003500EjJY1b59MdZA,6
00350083mrX6H7uHo4,3
00350075u1wq1qj6LT,3
003500Zs6s2zj1bo7k,9
003500I223Zq5EiY24,8
003500U4z30uZbB97W,8
0035000Y783ZSAnYFG,1
003500rVsN909Iq5g2,3
003500DbcXaJe64OE7,9
003500ahOjM66J9e53,2
0035008RYDeWB9snPR,5
003500x97FXeko1Ta4,2
003500GQ2c0731aT97,7
003500WK7ukc8P5Zx6,5
003500S2H4s3T37yli,3
003500Kjvx0rqu1832,4
003500IbA8IW98703G,7
003500Atgy21c3n3k3,7
0035006305els4r2Oa,4
003500P0s6k6UBz9e6,10
003500Llpwq2ToWxx4,8
0035003Xgg2dDhmjRB,2
0035008aXB7XKrPmP8,9
0035001IvBl058a0uR,10
003500Mw7nvIB971Ez,3
00350072m74A3t32p9,1
003500JOJ6efe43a5q,4
003500WEyt13CtVgmT,5
003500dqD85T7dGlFB,7
003500X5kSCHJ36jnH,9
003500AvnQ8h9sqtu2,6
003500ecp978m2TL64,6
0035007CjF4Mk7jMAA,5
