subscriberkey,eventdate,isunique,jobid
003500M7Q93CKG2je2,2024-02-16 07:28:02,false,765452
003500339Kgli7N5t9,2024-02-16 03:38:07,true,765452
003500oS7XRqSuGyQ2,2024-02-17 14:12:07,true,765452
0035003Xgg2dDhmjRB,2024-02-16 03:21:23,true,765452
003500Sr76b5k8V6n7,2024-02-15 01:54:01,true,765452
00350013N3k4H5ICng,2024-02-16 16:40:22,true,765452
003500RaRoz9F7h0E1,2024-02-15 03:21:02,true,765452
003500BGQMu6tBvkBO,2024-02-15 18:47:55,false,765452
0035005L9L6il5M069,2024-02-16 09:18:51,false,765452
0035008rcy57yumuP2,2024-02-15 10:12:03,false,765452
0035000L19GUIxvc3Y,2024-02-16 01:52:06,false,765452
0035003O1qhXg6R870,2024-02-15 18:13:40,true,765452
0035009iCQ14Zd8Ehu,2024-02-15 18:32:35,true,765452
003500N4AR9YgXz1bd,2024-02-15 22:05:17,true,765452
003500GOojWHIn4EOl,2024-02-15 11:18:17,false,765452
0035008aXB7XKrPmP8,2024-02-17 04:26:34,false,765452
003500gR8c9C6IMXj2,2024-02-17 20:08:40,true,765452
003500uK0PAjW9keUp,2024-02-16 15:25:24,true,765452
003500flk1N8d59J8O,2024-02-17 04:39:30,false,765452
0035005I6K3T3mFmtY,2024-02-17 15:45:13,true,765452
003500OvvjQA6saV20,2024-02-17 18:53:09,false,765452
00350098040043zVN8,2024-02-16 16:58:28,true,765452
003500F00np6ZIczKh,2024-02-16 19:15:34,true,765452
003500l3hW3o8G14uW,2024-02-17 03:58:25,true,765452
0035006Az5dq9S8h11,2024-02-15 22:56:33,false,765452
003500Y8z340Bu22bm,2024-02-16 12:03:33,true,765452
003500oNdm26460Oh6,2024-02-15 14:51:47,false,765452
003500ydrQ42clsNBt,2024-02-17 08:45:42,true,765452
00350077Tns52dd504,2024-02-16 14:43:11,true,765452
003500lVp9KJ4vFDvM,2024-02-15 11:12:34,false,765452
003500Q1THpJI1q4od,2024-02-15 13:46:34,true,765452
