subscriberkey,eventdate,isunique,jobid
00350022Ue6a0fpQHC,2024-02-01 12:33:56,1,853497
003500DbcXaJe64OE7,2024-02-22 18:12:10,1,851677
003500m4O17tFf15dh,2024-02-16 13:51:20,1,851097
0035004ik1s0svcOcT,2024-02-06 21:49:34,1,851643
003500Y15Z1x0le33v,2024-02-24 22:02:13,1,890767
003500C822642I6m6w,2024-02-21 09:36:57,1,851097
003500Y0MEoDP7VLb9,2024-02-19 07:29:47,1,851677
0035008rYt02UMKZ8A,2024-02-26 09:47:12,1,851677
003500Qh6YudW7wwfZ,2024-02-19 16:44:09,1,851677
0035002f4phh10J135,2024-02-25 03:52:41,0,851643
00350022go27p6N1HQ,2024-02-09 12:35:19,1,851677
003500IUQv80JmV4RS,2024-02-26 22:59:18,1,851097
003500S0sw0KdVX0Pc,2024-02-06 07:56:09,1,853497
003500guzYXbv26lDJ,2024-02-02 12:21:02,1,851677
003500s2n63T7422Tl,2024-02-15 16:49:46,1,851677
0035004P3qHJ2ETHz6,2024-02-11 21:41:28,0,851643
003500Rqwk2MWbuy8t,2024-02-01 22:22:04,1,851677
003500URn76xrU47fh,2024-02-27 09:31:47,1,890767
003500va1EOI0NWd02,2024-02-02 05:36:42,1,853497
003500U105pxCuzC48,2024-02-19 13:34:47,0,851643
0035001rkz6EFX7eAg,2024-02-15 19:36:37,1,853497
0035001O5jYk1YJw65,2024-02-06 04:38:20,1,853497
003500Q2s1vEJ9Dw7K,2024-02-14 04:50:40,1,851097
003500LhRAcuwJxpBz,2024-02-28 17:44:47,1,851097
0035008K7zi1d12Y4E,2024-02-15 18:14:54,1,890767
003500jfvOM6nIc8aO,2024-02-24 00:26:01,1,851689
0035006KUqtc29t6wY,2024-02-13 09:24:16,0,851677
00350021ei88r120kN,2024-02-15 03:09:25,1,890767
003500atxqDjOhTlG4,2024-02-18 16:29:42,1,853497
003500W6n7zG9eOmxM,2024-02-15 17:11:38,1,853497
0035004x8a8zs4EA1F,2024-02-20 17:58:45,1,851643
0035003ZSN3EjT1Dln,2024-02-11 22:57:20,0,890767
003500L3Ys7584c88i,2024-02-23 14:22:05,1,890767
003500t674tePj96t8,2024-02-15 23:17:08,1,853497
003500ecp978m2TL64,2024-02-13 22:41:53,1,851689
003500Q2s1vEJ9Dw7K,2024-02-11 22:40:36,1,851097
003500gR8c9C6IMXj2,2024-02-03 22:40:17,1,890767
00350037b9Q9IdE9vw,2024-02-21 04:49:16,1,851097
003500oNdm26460Oh6,2024-02-03 07:40:42,0,851643
003500P7p7u6pA6og1,2024-02-01 09:54:46,1,851689
003500bZnpjVTw6QV5,2024-02-17 22:45:03,1,851677
0035000hm9yb1yR8cl,2024-02-17 03:18:03,1,851677
003500K4MLeS60SHJ6,2024-02-12 22:11:27,1,851677
00350072Fu4z80YkJb,2024-02-19 18:10:27,0,851677
0035008OPxC0Y4t2yT,2024-02-24 22:05:36,1,890767
0035000cR0E2vOfV9I,2024-02-03 16:20:40,0,851097
0035005U0LL59bs4pt,2024-02-20 14:23:58,1,851097
003500Q1THpJI1q4od,2024-02-13 04:30:26,1,851677
003500RUqMvos4Nfr1,2024-02-26 20:12:59,1,851677
003500NEaR241yPl4O,2024-02-16 07:34:46,1,851677
00350083mrX6H7uHo4,2024-02-17 23:38:07,1,851689
003500giiXfKQ6275u,2024-02-19 04:46:14,1,890767
003500l8KpawYdjIt8,2024-02-28 15:36:48,1,890767
003500BEE1Ho6ME0PZ,2024-02-01 03:59:16,1,851643
0035009iCQ14Zd8Ehu,2024-02-02 14:47:56,1,890767
003500bFpg9f6yE5b7,2024-02-17 10:45:03,1,851097
003500MuNq358WbRs7,2024-02-02 07:38:57,0,851097
0035007753zIHQ04yM,2024-02-23 01:23:50,1,851643
0035008M0gEQ7tf84s,2024-02-06 19:31:51,1,851689
003500JZPp11t1JvtL,2024-02-09 16:43:30,1,851097
003500WKc2KN176k85,2024-02-16 00:49:53,1,851689
003500AQEu1V6v23VW,2024-02-06 14:38:01,1,851643
003500nHP4QFwNgMt7,2024-02-22 11:08:54,1,851677
003500F00np6ZIczKh,2024-02-05 12:25:41,0,851097
003500lVp9KJ4vFDvM,2024-02-18 12:07:01,1,851097
003500Z5VY6kYsI5LJ,2024-02-27 20:31:00,1,851689
003500flk1N8d59J8O,2024-02-22 07:52:46,1,851097
003500pmFONlsf3bAe,2024-02-12 08:49:27,1,851689
003500vwV8UWK8BXF6,2024-02-22 04:18:03,1,851097
003500e8ACd53JHn8V,2024-02-26 10:36:10,1,853497
003500VLReF3KzVS8l,2024-02-18 17:01:14,1,851677
0035000Y783ZSAnYFG,2024-02-07 11:35:19,1,851643
003500qsWZ4Zc9VU88,2024-02-21 04:51:42,1,851677
003500lR3NlUoOYb4T,2024-02-16 21:14:20,1,851677
0035002K3eHvjVGr95,2024-02-09 21:00:33,1,851677
003500BvqRZqf3oA6a,2024-02-11 22:52:19,1,851689
003500oG080ZQ62fdG,2024-02-16 14:06:05,1,851689
003500JTc5050dCvcU,2024-02-11 15:29:03,1,890767
003500kmv5rNGZ9rq1,2024-02-11 10:52:55,1,851677
0035000o3nReb4v20Y,2024-02-02 16:26:31,1,890767
003500I6qGE48t5Fn2,2024-02-15 07:32:18,1,851097
003500689QgUW52WUQ,2024-02-11 00:36:09,1,890767
003500AvnQ8h9sqtu2,2024-02-06 09:13:21,1,851643
00350064p57IY8xO37,2024-02-23 03:52:11,1,851097
003500r3oyv6hD3LjX,2024-02-23 23:25:08,1,851097
0035000h075s0PFhf1,2024-02-15 10:44:59,1,851643
0035002aAowk63QeJO,2024-02-14 01:32:43,1,853497
003500ahT05CviC39Z,2024-02-05 01:09:26,1,851643
0035002VzNcb9s1Kpq,2024-02-14 22:33:14,1,851643
003500Bd683eeSnZi9,2024-02-27 18:26:37,1,851097
003500395RWMk34B95,2024-02-27 17:57:49,1,851689
003500Un2g7d0CIV64,2024-02-15 20:14:15,1,890767
00350043f8Q3Pf5rbA,2024-02-19 21:35:50,1,853497
0035008TA9yOys0041,2024-02-03 21:24:05,1,851097
0035001Jt1iGE89Gli,2024-02-20 16:01:16,1,853497
003500kmv5rNGZ9rq1,2024-02-03 02:23:50,1,851677
003500Mgy862fHv4V9,2024-02-11 10:35:22,1,851677
00350022Ue6a0fpQHC,2024-02-26 00:04:23,1,890767
003500ZSnJBdE9wMnA,2024-02-21 21:30:32,1,853497
003500qia36V43b243,2024-02-07 15:07:47,1,851097
003500C6tp95RK3M4D,2024-02-14 12:17:39,1,853497
003500uEoO3LAf359F,2024-02-11 03:08:50,1,851677
003500eixePTfwZx6X,2024-02-02 05:26:33,1,851677
003500qsWZ4Zc9VU88,2024-02-01 21:06:00,0,853497
003500OKDWwg91bEgW,2024-02-13 22:31:41,1,890767
003500V4goNW9WdiL6,2024-02-25 01:41:00,1,851677
003500BvqRZqf3oA6a,2024-02-07 15:01:10,1,851097
003500giiXfKQ6275u,2024-02-16 20:35:24,1,853497
003500e47qH2X3BBcW,2024-02-15 08:11:54,1,853497
003500k4v23wk1Rk8x,2024-02-10 16:46:56,1,851097
003500j0yhN2s03RWS,2024-02-16 02:40:51,1,890767
0035003ZVpsNlpn40V,2024-02-21 02:06:15,1,851097
003500hu7nSC08ap4A,2024-02-26 14:26:14,1,851689
0035002YV3Rf7FolZ8,2024-02-08 02:10:44,1,851643
003500C7nXk5l19h9k,2024-02-04 10:45:28,1,851643
003500cI396o5jAMGr,2024-02-01 16:31:28,1,851677
00350084uo886DHrDb,2024-02-16 05:09:37,1,851097
003500UYuJiK726qJ8,2024-02-01 22:13:27,1,853497
00350083mrX6H7uHo4,2024-02-13 20:12:34,1,851677
003500xpR18nkJByGY,2024-02-18 22:58:40,1,890767
003500B3a6aixUq68F,2024-02-18 22:19:37,1,851677
003500eKt6R27r8l5x,2024-02-08 15:34:00,1,851677
003500x3p8T3USpEdC,2024-02-15 20:53:19,1,851643
003500332fMyiW4bSr,2024-02-27 10:44:28,1,890767
0035009po7cNb44080,2024-02-17 15:41:19,1,853497
003500MAdCt2669Asd,2024-02-25 18:54:22,1,851643
003500cShFUm3ac4gQ,2024-02-15 16:54:32,1,851097
003500IltcE351K71G,2024-02-23 19:05:58,1,890767
003500aZoa231CI2RN,2024-02-28 14:19:56,1,853497
003500IbA8IW98703G,2024-02-23 13:18:25,1,851677
003500TC5IU5Oz8IJy,2024-02-26 01:10:16,1,851689
003500OF9IAKWbntuT,2024-02-19 03:48:59,1,890767
003500K4MLeS60SHJ6,2024-02-13 11:48:56,1,890767
003500aum78SWcKyze,2024-02-20 03:51:22,1,851677
0035006fDg6DFSm34e,2024-02-17 03:48:21,1,851677
003500W6n7zG9eOmxM,2024-02-22 05:12:09,1,853497
003500Fs0pGtX87dJ9,2024-02-11 19:21:22,1,851689
0035003Fl137Q3d3qv,2024-02-09 01:04:14,1,851097
003500E414783d6rmu,2024-02-26 02:41:45,1,853497
003500BvqRZqf3oA6a,2024-02-24 17:28:10,0,851677
003500JZPp11t1JvtL,2024-02-24 01:05:50,1,851689
003500HlE3SYSfR06T,2024-02-11 15:11:18,0,851677
003500FVbw1142fbq6,2024-02-12 20:51:45,1,851677
003500ahT05CviC39Z,2024-02-10 15:26:06,1,890767
003500I2JVj0e32rc6,2024-02-01 17:48:42,1,851643
003500KH5585el7G5p,2024-02-24 01:50:46,1,851097
003500pp3HpfT34N12,2024-02-06 09:54:58,1,853497
003500pMgt8vx52NOc,2024-02-16 10:28:28,1,853497
0035002YV3Rf7FolZ8,2024-02-05 11:36:58,1,851689
0035003nK33vU0y5vS,2024-02-05 05:51:05,0,851677
003500q0w5kgaPd90p,2024-02-26 21:26:36,1,851097
003500dqD85T7dGlFB,2024-02-20 11:14:15,1,851689
003500rylCQjOkE03s,2024-02-19 16:02:28,1,851689
003500aI5YD5CG9V00,2024-02-04 03:14:21,0,851643
003500bcSG2KOnXTYZ,2024-02-01 08:08:46,1,853497
003500rW0PlP1j33E3,2024-02-20 23:45:26,1,851689
003500sez63H7OJY1R,2024-02-26 02:44:48,1,853497
003500GFd2XfP8J8LB,2024-02-24 14:41:31,1,851677
00350097RmSv7cXi57,2024-02-26 08:09:07,0,851643
003500C7nXk5l19h9k,2024-02-09 05:12:28,1,851643
0035007jl94si5Q3Cw,2024-02-12 21:28:42,1,853497
003500dr1Mbdv7iAXk,2024-02-03 20:13:10,1,890767
003500H8Mq06w1Z6L1,2024-02-08 17:56:39,1,851689
003500cm9UM26A9bU8,2024-02-07 18:22:15,1,851097
003500U3isxh8Q4CdS,2024-02-11 22:28:09,1,853497
00350084uo886DHrDb,2024-02-28 23:43:21,1,851097
003500BEE1Ho6ME0PZ,2024-02-12 04:54:19,1,851097
003500QzsqP45hyRl2,2024-02-28 09:32:15,1,853497
00350038x1Q83nA5l6,2024-02-15 19:23:45,1,890767
0035004CsBQ84jtADN,2024-02-10 00:47:56,0,853497
003500XE2ZuoB4LDVg,2024-02-22 07:42:13,1,853497
003500BX64bY9H09ay,2024-02-01 04:38:19,1,851689
003500K4MLeS60SHJ6,2024-02-18 08:19:34,1,851643
00350043DT52gs2gR6,2024-02-14 14:27:02,1,890767
0035005JDA8Jd38E42,2024-02-12 13:46:20,1,851643
0035000TXz3w03I0LG,2024-02-26 20:32:12,1,853497
003500cShFUm3ac4gQ,2024-02-16 08:44:36,1,853497
003500z8Ei4f51iI1M,2024-02-25 12:34:12,1,851677
003500T3AFbMci9dfq,2024-02-20 06:06:00,1,851689
003500VLReF3KzVS8l,2024-02-06 20:41:45,1,851097
00350043DT52gs2gR6,2024-02-15 03:45:21,1,851677
003500z4S5V6DP3N05,2024-02-11 22:50:22,1,890767
003500U105pxCuzC48,2024-02-02 15:16:04,1,851097
003500UcKabu6ZxHg5,2024-02-18 04:09:54,1,851643
00350056LDM77ssts6,2024-02-04 21:34:09,1,851689
003500BvqRZqf3oA6a,2024-02-27 17:31:01,1,853497
0035003ZVpsNlpn40V,2024-02-27 11:07:18,1,890767
003500m4O17tFf15dh,2024-02-05 03:49:29,1,851097
003500dxuF5cwjp07h,2024-02-03 13:24:16,1,851097
003500s2n63T7422Tl,2024-02-13 06:32:58,1,851677
003500L3KvJ13l7YIS,2024-02-06 05:15:39,1,851643
0035000s55b93o8m5y,2024-02-12 14:29:41,1,851097
003500Z83a5bEctq30,2024-02-20 17:45:45,1,890767
003500USTY85T3KQ4f,2024-02-16 10:31:30,1,851643
003500JOJ6efe43a5q,2024-02-01 15:25:29,0,851643
003500j12IospCgI2a,2024-02-08 13:10:18,1,851097
003500332fMyiW4bSr,2024-02-24 02:48:26,1,851689
0035003Tb3yQV2MRtH,2024-02-03 01:06:04,0,853497
003500HqJvkA1hs98g,2024-02-07 22:54:36,1,853497
003500P351IXnjF8bQ,2024-02-19 14:58:49,1,890767
003500hI7Cp4q74NmM,2024-02-03 10:15:55,1,851097
003500oLKL95OQC2K2,2024-02-01 18:22:11,1,853497
003500e3apjELX7021,2024-02-21 21:32:32,1,851643
003500w6yaXe7E2P8f,2024-02-22 09:16:45,1,851097
0035007qbF107MM1c2,2024-02-26 21:07:44,0,890767
0035008TA9yOys0041,2024-02-22 04:14:39,1,851097
0035007kk5SX58ZKOz,2024-02-20 22:58:57,1,890767
003500B3a6aixUq68F,2024-02-10 06:14:44,1,851097
003500F3HusU9PiDxb,2024-02-12 11:17:54,1,851689
0035009PxIE8XUl8iF,2024-02-24 12:06:15,1,851097
003500Nrb7Zl1H6F59,2024-02-14 23:12:56,1,853497
003500Lb6uVG7YKA0g,2024-02-14 22:39:50,1,853497
0035003QdbQV5ACTe8,2024-02-20 21:19:41,1,851677
003500U105pxCuzC48,2024-02-26 13:13:21,1,853497
0035009PxIE8XUl8iF,2024-02-18 04:56:23,0,851097
