subscriberkey,eventdate,jobid,isunique
003500gAUNSBbr0za1,12/5/2023 12:00:00 AM,597795,True
0035000DEyFL7M8mr1,12/5/2023 12:00:00 AM,597795,True
0035006jJE3pB99FV2,12/5/2023 12:00:00 AM,597795,True
003500KYwZ7bGySsY7,11/16/2023 12:00:00 AM,595434,True
003500A24o2PH8GIw0,11/16/2023 12:00:00 AM,595434,True
003500oVL7G00f8Z03,11/16/2023 12:00:00 AM,595434,True
0035004292uOsx1LUZ,11/16/2023 12:00:00 AM,595434,True
00350057T1U2n8Zl6G,11/16/2023 12:00:00 AM,595434,True
003500NnIU0YurGi5R,11/16/2023 12:00:00 AM,595434,True
003500rylCQjOkE03s,11/16/2023 12:00:00 AM,595434,True
003500NJM3uu4GfR17,11/16/2023 12:00:00 AM,595434,True
0035001Jt1iGE89Gli,11/16/2023 12:00:00 AM,595434,True
0035007ck8vr313ojO,11/16/2023 12:00:00 AM,595434,True
003500Xh1xGI88tIby,11/16/2023 12:00:00 AM,595434,True
003500viWUPlNzMIxX,11/16/2023 12:00:00 AM,595434,True
00350083eid2k0G9eC,11/16/2023 12:00:00 AM,595434,True
003500eixePTfwZx6X,11/16/2023 12:00:00 AM,595434,True
003500Wvh5TBLB8hq1,11/16/2023 12:00:00 AM,595434,True
0035000Y783ZSAnYFG,11/16/2023 12:00:00 AM,595434,True
003500l5905y6nXfd1,11/16/2023 12:00:00 AM,595434,True
003500ufUoLLTA81dT,11/16/2023 12:00:00 AM,595434,True
003500aZoa231CI2RN,11/16/2023 12:00:00 AM,595434,True
003500V827eC3i0H6K,11/16/2023 12:00:00 AM,595434,True
0035005pgMY4hK8mqp,11/16/2023 12:00:00 AM,595434,True
003500Y36ow688p0Ww,11/16/2023 12:00:00 AM,595434,True
003500KIh3532wjCb9,11/16/2023 12:00:00 AM,595434,True
0035006aEC57SS6538,11/16/2023 12:00:00 AM,595434,True
00350003rHTbZ7wrP7,11/16/2023 12:00:00 AM,595434,True
003500w0i76HMX4ce5,11/16/2023 12:00:00 AM,595434,True
003500tkuecE22kmaO,11/16/2023 12:00:00 AM,595434,True
003500s0FzSieE3a8A,11/16/2023 12:00:00 AM,595434,True
003500hSRvM15mfUop,11/16/2023 12:00:00 AM,595434,True
003500nHP4QFwNgMt7,11/16/2023 12:00:00 AM,595434,True
0035003U9SMHPM1mAB,11/16/2023 12:00:00 AM,595434,True
003500BkaFX74w4gR5,11/16/2023 12:00:00 AM,595434,True
003500L54KQk4E7PEO,11/16/2023 12:00:00 AM,595434,True
003500v90QI0d4E2LE,11/16/2023 12:00:00 AM,595434,True
003500I2WJ5yMIqBHG,11/16/2023 12:00:00 AM,595434,True
0035007g72M83fh26n,11/16/2023 12:00:00 AM,595434,True
003500Ki59eXfcF8wG,11/16/2023 12:00:00 AM,595434,True
0035007DedCTkexc9E,11/16/2023 12:00:00 AM,595434,True
0035009Qr39KpU3AXR,11/16/2023 12:00:00 AM,595434,True
003500A1BBY19Eblv9,11/16/2023 12:00:00 AM,595434,True
003500y5d5EVEk3Nk4,11/16/2023 12:00:00 AM,595434,True
0035009081Bt4PPePq,11/16/2023 12:00:00 AM,595434,True
0035002VzNcb9s1Kpq,11/16/2023 12:00:00 AM,595434,True
0035005TOfR3cw3E6K,11/16/2023 12:00:00 AM,595434,True
0035001zqf1WDL3l0N,11/16/2023 12:00:00 AM,595434,True
003500FPEmv8l721l3,11/16/2023 12:00:00 AM,595434,True
003500X96oSGvGeP80,11/16/2023 12:00:00 AM,595434,True
003500338SElwLOJaH,11/16/2023 12:00:00 AM,595434,True
003500u05LJr8f2u9n,11/16/2023 12:00:00 AM,595434,True
0035003X6n7SOd4S3Y,11/16/2023 12:00:00 AM,595434,False
003500AQEu1V6v23VW,11/16/2023 12:00:00 AM,595434,False
003500Qh6YudW7wwfZ,11/16/2023 12:00:00 AM,595434,True
003500M3b2zNnCiTAb,11/16/2023 12:00:00 AM,595434,True
003500SNzg10eV2IKL,11/16/2023 12:00:00 AM,595434,True
003500URn76xrU47fh,11/16/2023 12:00:00 AM,595434,True
00350013N3k4H5ICng,12/5/2023 12:00:00 AM,597795,True
0035009iCQ14Zd8Ehu,12/5/2023 12:00:00 AM,597795,True
003500uK0PAjW9keUp,12/5/2023 12:00:00 AM,597795,True
0035006Az5dq9S8h11,12/5/2023 12:00:00 AM,597795,True
003500Y8z340Bu22bm,12/5/2023 12:00:00 AM,597795,True
003500Q1THpJI1q4od,12/5/2023 12:00:00 AM,597795,True
003500U5s4v0k5M6zQ,12/5/2023 12:00:00 AM,597795,True
003500Dx5pB3939316,12/5/2023 12:00:00 AM,597795,True
003500fOugv88VcV16,12/5/2023 12:00:00 AM,597795,True
003500BDIa153NYoMD,12/5/2023 12:00:00 AM,597795,True
