subscriberkey,eventdate,jobid
003500001RPc9EotPu,1/10/2023 12:00:00 AM,512345
003500001RPc9EotPu,2/15/2023 12:00:00 AM,531298
003500001RPc9EotPu,3/7/2023 12:00:00 AM,543216
003500001RPc9EotPu,4/20/2023 12:00:00 AM,567890
003500001RPc9EotPu,5/23/2023 12:00:00 AM,568472
003500001RPc9EotPu,6/27/2023 12:00:00 AM,574893
003500001RPc9EotPu,7/10/2023 12:00:00 AM,583210
003500001RPc9EotPu,8/18/2023 12:00:00 AM,590123
003500001RPc9EotPu,9/6/2023 12:00:00 AM,590543
003500001RPc9EotPu,10/30/2023 12:00:00 AM,592304
003500001RPc9EotPu,11/15/2023 12:00:00 AM,595434
003500001RPc9EotPu,12/4/2023 12:00:00 AM,597795
00350001a74B7uU6yZ,1/10/2023 12:00:00 AM,512345
00350001a74B7uU6yZ,2/15/2023 12:00:00 AM,531298
00350001a74B7uU6yZ,3/7/2023 12:00:00 AM,543216
00350001a74B7uU6yZ,4/20/2023 12:00:00 AM,567890
00350001a74B7uU6yZ,5/23/2023 12:00:00 AM,568472
00350001a74B7uU6yZ,6/27/2023 12:00:00 AM,574893
00350001a74B7uU6yZ,7/10/2023 12:00:00 AM,583210
00350001a74B7uU6yZ,8/18/2023 12:00:00 AM,590123
00350001a74B7uU6yZ,9/6/2023 12:00:00 AM,590543
00350001a74B7uU6yZ,10/30/2023 12:00:00 AM,592304
00350001a74B7uU6yZ,11/15/2023 12:00:00 AM,595434
00350001a74B7uU6yZ,12/4/2023 12:00:00 AM,597795
00350001YmW09QK4zA,1/10/2023 12:00:00 AM,512345
00350001YmW09QK4zA,2/15/2023 12:00:00 AM,531298
00350001YmW09QK4zA,3/7/2023 12:00:00 AM,543216
00350001YmW09QK4zA,4/20/2023 12:00:00 AM,567890
00350001YmW09QK4zA,5/23/2023 12:00:00 AM,568472
00350001YmW09QK4zA,6/27/2023 12:00:00 AM,574893
00350001YmW09QK4zA,7/10/2023 12:00:00 AM,583210
00350001YmW09QK4zA,8/18/2023 12:00:00 AM,590123
00350001YmW09QK4zA,9/6/2023 12:00:00 AM,590543
00350001YmW09QK4zA,10/30/2023 12:00:00 AM,592304
00350001YmW09QK4zA,11/15/2023 12:00:00 AM,595434
00350001YmW09QK4zA,12/4/2023 12:00:00 AM,597795
00350003aY7Gxy6S7z,1/10/2023 12:00:00 AM,512345
00350003aY7Gxy6S7z,2/15/2023 12:00:00 AM,531298
00350003aY7Gxy6S7z,3/7/2023 12:00:00 AM,543216
00350003aY7Gxy6S7z,4/20/2023 12:00:00 AM,567890
00350003aY7Gxy6S7z,5/23/2023 12:00:00 AM,568472
00350003aY7Gxy6S7z,6/27/2023 12:00:00 AM,574893
00350003aY7Gxy6S7z,7/10/2023 12:00:00 AM,583210
00350003aY7Gxy6S7z,8/18/2023 12:00:00 AM,590123
00350003aY7Gxy6S7z,9/6/2023 12:00:00 AM,590543
00350003aY7Gxy6S7z,10/30/2023 12:00:00 AM,592304
00350003aY7Gxy6S7z,11/15/2023 12:00:00 AM,595434
00350003aY7Gxy6S7z,12/4/2023 12:00:00 AM,597795
00350003Llb0LG95Dr,1/10/2023 12:00:00 AM,512345
00350003Llb0LG95Dr,2/15/2023 12:00:00 AM,531298
00350003Llb0LG95Dr,3/7/2023 12:00:00 AM,543216
00350003Llb0LG95Dr,4/20/2023 12:00:00 AM,567890
00350003Llb0LG95Dr,5/23/2023 12:00:00 AM,568472
00350003Llb0LG95Dr,6/27/2023 12:00:00 AM,574893
00350003Llb0LG95Dr,7/10/2023 12:00:00 AM,583210
00350003Llb0LG95Dr,8/18/2023 12:00:00 AM,590123
00350003Llb0LG95Dr,9/6/2023 12:00:00 AM,590543
00350003Llb0LG95Dr,10/30/2023 12:00:00 AM,592304
00350003Llb0LG95Dr,11/15/2023 12:00:00 AM,595434
00350003Llb0LG95Dr,12/4/2023 12:00:00 AM,597795
00350003rHTbZ7wrP7,1/10/2023 12:00:00 AM,512345
00350003rHTbZ7wrP7,2/15/2023 12:00:00 AM,531298
00350003rHTbZ7wrP7,3/7/2023 12:00:00 AM,543216
00350003rHTbZ7wrP7,4/20/2023 12:00:00 AM,567890
00350003rHTbZ7wrP7,5/23/2023 12:00:00 AM,568472
00350003rHTbZ7wrP7,6/27/2023 12:00:00 AM,574893
00350003rHTbZ7wrP7,7/10/2023 12:00:00 AM,583210
00350003rHTbZ7wrP7,8/18/2023 12:00:00 AM,590123
00350003rHTbZ7wrP7,9/6/2023 12:00:00 AM,590543
00350003rHTbZ7wrP7,10/30/2023 12:00:00 AM,592304
00350003rHTbZ7wrP7,11/15/2023 12:00:00 AM,595434
00350003rHTbZ7wrP7,12/4/2023 12:00:00 AM,597795
00350005025X71HuU7,1/10/2023 12:00:00 AM,512345
00350005025X71HuU7,2/15/2023 12:00:00 AM,531298
00350005025X71HuU7,3/7/2023 12:00:00 AM,543216
00350005025X71HuU7,4/20/2023 12:00:00 AM,567890
00350005025X71HuU7,5/23/2023 12:00:00 AM,568472
00350005025X71HuU7,6/27/2023 12:00:00 AM,574893
00350005025X71HuU7,7/10/2023 12:00:00 AM,583210
00350005025X71HuU7,8/18/2023 12:00:00 AM,590123
00350005025X71HuU7,9/6/2023 12:00:00 AM,590543
00350005025X71HuU7,10/30/2023 12:00:00 AM,592304
